127.0.0.1 - - [30/Apr/2023:00:52:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:52:51 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:52:51 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:52:51 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:06 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:06 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:06 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:06 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:06 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:06 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:06 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:06 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:06 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:06 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:06 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:06 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:06 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:06 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:06 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:07 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:07 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:07 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:07 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:07 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:07 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:07 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:07 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:07 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:08 +0530] "GET /ZeroToOne/login_page.jsp HTTP/1.1" 200 3934
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:08 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:08 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:11 +0530] "GET /ZeroToOne/register_page.jsp HTTP/1.1" 200 4633
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:11 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:11 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:58 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:58 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:58 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:58 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:58 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:58 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:58 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:59 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
