127.0.0.1 - - [04/May/2023:02:59:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/May/2023:02:59:46 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6240
0:0:0:0:0:0:0:1 - - [04/May/2023:02:59:46 +0530] "GET /ZeroToOne/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/May/2023:02:59:46 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2023:02:59:58 +0530] "GET /ZeroToOne/login_page.jsp HTTP/1.1" 200 4524
0:0:0:0:0:0:0:1 - - [04/May/2023:02:59:58 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/May/2023:03:00:00 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6240
0:0:0:0:0:0:0:1 - - [04/May/2023:03:00:00 +0530] "GET /ZeroToOne/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/May/2023:03:00:01 +0530] "GET /ZeroToOne/register_page.jsp HTTP/1.1" 200 5265
0:0:0:0:0:0:0:1 - - [04/May/2023:03:00:01 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/May/2023:03:00:03 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6240
0:0:0:0:0:0:0:1 - - [04/May/2023:03:00:03 +0530] "GET /ZeroToOne/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/May/2023:03:00:09 +0530] "GET /ZeroToOne/login_page.jsp HTTP/1.1" 200 4524
0:0:0:0:0:0:0:1 - - [04/May/2023:03:00:09 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/May/2023:03:00:14 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6240
0:0:0:0:0:0:0:1 - - [04/May/2023:03:00:14 +0530] "GET /ZeroToOne/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/May/2023:03:00:15 +0530] "GET /ZeroToOne/register_page.jsp HTTP/1.1" 200 5265
0:0:0:0:0:0:0:1 - - [04/May/2023:03:00:15 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 404 782
